iris_id,event_timestamp,created_timestamp,sepal_length,sepal_width,petal_length,petal_width,species
64,2025-01-01 01:03:00,2025-01-01 01:03:00,6.1,2.9,4.7,1.4,versicolor
65,2025-01-01 01:04:00,2025-01-01 01:04:00,5.6,2.9,3.6,1.3,versicolor
66,2025-01-01 01:05:00,2025-01-01 01:05:00,6.7,3.1,4.4,1.4,versicolor
67,2025-01-01 01:06:00,2025-01-01 01:06:00,5.6,3.0,4.5,1.5,versicolor
68,2025-01-01 01:07:00,2025-01-01 01:07:00,5.8,2.7,4.1,1.0,versicolor
69,2025-01-01 01:08:00,2025-01-01 01:08:00,6.2,2.2,4.5,1.5,versicolor
70,2025-01-01 01:09:00,2025-01-01 01:09:00,5.6,2.5,3.9,1.1,versicolor
71,2025-01-01 01:10:00,2025-01-01 01:10:00,5.9,3.2,4.8,1.8,versicolor
72,2025-01-01 01:11:00,2025-01-01 01:11:00,6.1,2.8,4.0,1.3,versicolor
73,2025-01-01 01:12:00,2025-01-01 01:12:00,6.3,2.5,4.9,1.5,versicolor
74,2025-01-01 01:13:00,2025-01-01 01:13:00,6.1,2.8,4.7,1.2,versicolor
75,2025-01-01 01:14:00,2025-01-01 01:14:00,6.4,2.9,4.3,1.3,versicolor
76,2025-01-01 01:15:00,2025-01-01 01:15:00,6.6,3.0,4.4,1.4,versicolor
77,2025-01-01 01:16:00,2025-01-01 01:16:00,6.8,2.8,4.8,1.4,versicolor
78,2025-01-01 01:17:00,2025-01-01 01:17:00,6.7,3.0,5.0,1.7,versicolor
79,2025-01-01 01:18:00,2025-01-01 01:18:00,6.0,2.9,4.5,1.5,versicolor
80,2025-01-01 01:19:00,2025-01-01 01:19:00,5.7,2.6,3.5,1.0,versicolor
81,2025-01-01 01:20:00,2025-01-01 01:20:00,5.5,2.4,3.8,1.1,versicolor
82,2025-01-01 01:21:00,2025-01-01 01:21:00,5.5,2.4,3.7,1.0,versicolor
83,2025-01-01 01:22:00,2025-01-01 01:22:00,5.8,2.7,3.9,1.2,versicolor
84,2025-01-01 01:23:00,2025-01-01 01:23:00,6.0,2.7,5.1,1.6,versicolor
85,2025-01-01 01:24:00,2025-01-01 01:24:00,5.4,3.0,4.5,1.5,versicolor
86,2025-01-01 01:25:00,2025-01-01 01:25:00,6.0,3.4,4.5,1.6,versicolor
87,2025-01-01 01:26:00,2025-01-01 01:26:00,6.7,3.1,4.7,1.5,versicolor
88,2025-01-01 01:27:00,2025-01-01 01:27:00,6.3,2.3,4.4,1.3,versicolor
89,2025-01-01 01:28:00,2025-01-01 01:28:00,5.6,3.0,4.1,1.3,versicolor
90,2025-01-01 01:29:00,2025-01-01 01:29:00,5.5,2.5,4.0,1.3,versicolor
91,2025-01-01 01:30:00,2025-01-01 01:30:00,5.5,2.6,4.4,1.2,versicolor
92,2025-01-01 01:31:00,2025-01-01 01:31:00,6.1,3.0,4.6,1.4,versicolor
93,2025-01-01 01:32:00,2025-01-01 01:32:00,5.8,2.6,4.0,1.2,versicolor
94,2025-01-01 01:33:00,2025-01-01 01:33:00,5.0,2.3,3.3,1.0,versicolor
95,2025-01-01 01:34:00,2025-01-01 01:34:00,5.6,2.7,4.2,1.3,versicolor
96,2025-01-01 01:35:00,2025-01-01 01:35:00,5.7,3.0,4.2,1.2,versicolor
97,2025-01-01 01:36:00,2025-01-01 01:36:00,5.7,2.9,4.2,1.3,versicolor
98,2025-01-01 01:37:00,2025-01-01 01:37:00,6.2,2.9,4.3,1.3,versicolor
99,2025-01-01 01:38:00,2025-01-01 01:38:00,5.1,2.5,3.0,1.1,versicolor
100,2025-01-01 01:39:00,2025-01-01 01:39:00,5.7,2.8,4.1,1.3,versicolor
101,2025-01-01 01:40:00,2025-01-01 01:40:00,6.3,3.3,6.0,2.5,virginica
102,2025-01-01 01:41:00,2025-01-01 01:41:00,5.8,2.7,5.1,1.9,virginica
103,2025-01-01 01:42:00,2025-01-01 01:42:00,7.1,3.0,5.9,2.1,virginica
104,2025-01-01 01:43:00,2025-01-01 01:43:00,6.3,2.9,5.6,1.8,virginica
105,2025-01-01 01:44:00,2025-01-01 01:44:00,6.5,3.0,5.8,2.2,virginica
106,2025-01-01 01:45:00,2025-01-01 01:45:00,7.6,3.0,6.6,2.1,virginica
107,2025-01-01 01:46:00,2025-01-01 01:46:00,4.9,2.5,4.5,1.7,virginica
108,2025-01-01 01:47:00,2025-01-01 01:47:00,7.3,2.9,6.3,1.8,virginica
109,2025-01-01 01:48:00,2025-01-01 01:48:00,6.7,2.5,5.8,1.8,virginica
110,2025-01-01 01:49:00,2025-01-01 01:49:00,7.2,3.6,6.1,2.5,virginica
111,2025-01-01 01:50:00,2025-01-01 01:50:00,6.5,3.2,5.1,2.0,virginica
112,2025-01-01 01:51:00,2025-01-01 01:51:00,6.4,2.7,5.3,1.9,virginica
113,2025-01-01 01:52:00,2025-01-01 01:52:00,6.8,3.0,5.5,2.1,virginica
114,2025-01-01 01:53:00,2025-01-01 01:53:00,5.7,2.5,5.0,2.0,virginica
115,2025-01-01 01:54:00,2025-01-01 01:54:00,5.8,2.8,5.1,2.4,virginica
116,2025-01-01 01:55:00,2025-01-01 01:55:00,6.4,3.2,5.3,2.3,virginica
117,2025-01-01 01:56:00,2025-01-01 01:56:00,6.5,3.0,5.5,1.8,virginica
118,2025-01-01 01:57:00,2025-01-01 01:57:00,7.7,3.8,6.7,2.2,virginica
119,2025-01-01 01:58:00,2025-01-01 01:58:00,7.7,2.6,6.9,2.3,virginica
120,2025-01-01 01:59:00,2025-01-01 01:59:00,6.0,2.2,5.0,1.5,virginica
121,2025-01-01 02:00:00,2025-01-01 02:00:00,6.9,3.2,5.7,2.3,virginica
122,2025-01-01 02:01:00,2025-01-01 02:01:00,5.6,2.8,4.9,2.0,virginica
123,2025-01-01 02:02:00,2025-01-01 02:02:00,7.7,2.8,6.7,2.0,virginica
124,2025-01-01 02:03:00,2025-01-01 02:03:00,6.3,2.7,4.9,1.8,virginica
125,2025-01-01 02:04:00,2025-01-01 02:04:00,6.7,3.3,5.7,2.1,virginica
126,2025-01-01 02:05:00,2025-01-01 02:05:00,7.2,3.2,6.0,1.8,virginica
127,2025-01-01 02:06:00,2025-01-01 02:06:00,6.2,2.8,4.8,1.8,virginica
128,2025-01-01 02:07:00,2025-01-01 02:07:00,6.1,3.0,4.9,1.8,virginica
129,2025-01-01 02:08:00,2025-01-01 02:08:00,6.4,2.8,5.6,2.1,virginica
130,2025-01-01 02:09:00,2025-01-01 02:09:00,7.2,3.0,5.8,1.6,virginica
131,2025-01-01 02:10:00,2025-01-01 02:10:00,7.4,2.8,6.1,1.9,virginica
132,2025-01-01 02:11:00,2025-01-01 02:11:00,7.9,3.8,6.4,2.0,virginica
133,2025-01-01 02:12:00,2025-01-01 02:12:00,6.4,2.8,5.6,2.2,virginica
134,2025-01-01 02:13:00,2025-01-01 02:13:00,6.3,2.8,5.1,1.5,virginica
135,2025-01-01 02:14:00,2025-01-01 02:14:00,6.1,2.6,5.6,1.4,virginica
136,2025-01-01 02:15:00,2025-01-01 02:15:00,7.7,3.0,6.1,2.3,virginica
137,2025-01-01 02:16:00,2025-01-01 02:16:00,6.3,3.4,5.6,2.4,virginica
138,2025-01-01 02:17:00,2025-01-01 02:17:00,6.4,3.1,5.5,1.8,virginica
139,2025-01-01 02:18:00,2025-01-01 02:18:00,6.0,3.0,4.8,1.8,virginica
140,2025-01-01 02:19:00,2025-01-01 02:19:00,6.9,3.1,5.4,2.1,virginica
141,2025-01-01 02:20:00,2025-01-01 02:20:00,6.7,3.1,5.6,2.4,virginica
142,2025-01-01 02:21:00,2025-01-01 02:21:00,6.9,3.1,5.1,2.3,virginica
143,2025-01-01 02:22:00,2025-01-01 02:22:00,5.8,2.7,5.1,1.9,virginica
144,2025-01-01 02:23:00,2025-01-01 02:23:00,6.8,3.2,5.9,2.3,virginica
145,2025-01-01 02:24:00,2025-01-01 02:24:00,6.7,3.3,5.7,2.5,virginica
146,2025-01-01 02:25:00,2025-01-01 02:25:00,6.7,3.0,5.2,2.3,virginica
147,2025-01-01 02:26:00,2025-01-01 02:26:00,6.3,2.5,5.0,1.9,virginica
148,2025-01-01 02:27:00,2025-01-01 02:27:00,6.5,3.0,5.2,2.0,virginica
149,2025-01-01 02:28:00,2025-01-01 02:28:00,6.2,3.4,5.4,2.3,virginica
150,2025-01-01 02:29:00,2025-01-01 02:29:00,5.9,3.0,5.1,1.8,virginica
